"s","o","s_name","s_wikipage"
"http://dbpedia.org/resource/%C3%84ngelholm","http://www.engelholm.se/","Ängelholm","http://en.wikipedia.org/wiki/Ängelholm"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.scb.se","Ängelholm Municipality","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.engelholm.se","Ängelholm Municipality","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.turist.engelholm.se/index_gb.html","Ängelholm Municipality","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.ngw.nl/int/zwe/a/angelhol.htm","Ängelholm Municipality","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.kommun.engelholm.se/","Ängelholm Municipality","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.scb.se","Ängelholms kommun","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.engelholm.se","Ängelholms kommun","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.turist.engelholm.se/index_gb.html","Ängelholms kommun","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.ngw.nl/int/zwe/a/angelhol.htm","Ängelholms kommun","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%84ngelholm_Municipality","http://www.kommun.engelholm.se/","Ängelholms kommun","http://en.wikipedia.org/wiki/Ängelholm_Municipality"
"http://dbpedia.org/resource/%C3%85hus","http://www.ahus.com/","Åhus","http://en.wikipedia.org/wiki/Åhus"
"http://dbpedia.org/resource/%C3%85mli","http://www.ssb.no/english/municipalities/0929","Aust-Agder","http://en.wikipedia.org/wiki/Åmli"
"http://dbpedia.org/resource/%C3%85mli","http://www.kulturnett.no/geografisknavigering/geografisknavigering_visning.jsp?fylke=T921062&kommune=T931466","Aust-Agder","http://en.wikipedia.org/wiki/Åmli"
"http://dbpedia.org/resource/%C3%85mli","http://www.ssb.no/english/municipalities/0929","Åmli","http://en.wikipedia.org/wiki/Åmli"
"http://dbpedia.org/resource/%C3%85mli","http://www.kulturnett.no/geografisknavigering/geografisknavigering_visning.jsp?fylke=T921062&kommune=T931466","Åmli","http://en.wikipedia.org/wiki/Åmli"
"http://dbpedia.org/resource/%C3%85mot","http://www.ssb.no/english/municipalities/0429","Hedmark","http://en.wikipedia.org/wiki/Åmot"
"http://dbpedia.org/resource/%C3%85mot","http://www.ssb.no/english/municipalities/0429","Åmot","http://en.wikipedia.org/wiki/Åmot"
"http://dbpedia.org/resource/%C3%85nge_Municipality","http://www.ange.se","Ånge Municipality","http://en.wikipedia.org/wiki/Ånge_Municipality"
"http://dbpedia.org/resource/%C3%85nge_Municipality","http://www.ange.se","Ånge kommun","http://en.wikipedia.org/wiki/Ånge_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.arebikepark.com/en","Åre Municipality","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.are.se","Åre Municipality","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.arebikefestival.com","Åre Municipality","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.are-sweden.com/","Åre Municipality","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.arebikepark.com/en","Åre kommun","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.are.se","Åre kommun","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.arebikefestival.com","Åre kommun","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85re_Municipality","http://www.are-sweden.com/","Åre kommun","http://en.wikipedia.org/wiki/Åre_Municipality"
"http://dbpedia.org/resource/%C3%85sele_Municipality","http://www.asele.se","Åsele Municipality","http://en.wikipedia.org/wiki/Åsele_Municipality"
"http://dbpedia.org/resource/%C3%85sele_Municipality","http://www.asele.se","Åsele kommun","http://en.wikipedia.org/wiki/Åsele_Municipality"
"http://dbpedia.org/resource/%C3%85sne_Seierstad","http://snl.no/.nbl_biografi/%C3%85sne_Seierstad/utdypning","Åsne Seierstad","http://en.wikipedia.org/wiki/Åsne_Seierstad"
"http://dbpedia.org/resource/%C3%85sne_Seierstad","http://snl.no/.nbl_biografi/%C3%85sne_Seierstad/utdypning","Aasne Seierstad","http://en.wikipedia.org/wiki/Åsne_Seierstad"
"http://dbpedia.org/resource/%C3%85snen","http://www.sportfiskeguide.se/spfguide/eng/water/asnen.htm","Åsnen","http://en.wikipedia.org/wiki/Åsnen"
"http://dbpedia.org/resource/%C3%85snes","http://www.ssb.no/english/municipalities/0425","Hedmark","http://en.wikipedia.org/wiki/Åsnes"
"http://dbpedia.org/resource/%C3%85snes","http://www.ssb.no/english/municipalities/0425","Åsnes","http://en.wikipedia.org/wiki/Åsnes"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.scb.se","Åstorp Municipality","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.ngw.nl/int/zwe/a/astorp.htm","Åstorp Municipality","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.astorp.se","Åstorp Municipality","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.astorp.se/","Åstorp Municipality","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.scb.se","Åstorps kommun","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.ngw.nl/int/zwe/a/astorp.htm","Åstorps kommun","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.astorp.se","Åstorps kommun","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85storp_Municipality","http://www.astorp.se/","Åstorps kommun","http://en.wikipedia.org/wiki/Åstorp_Municipality"
"http://dbpedia.org/resource/%C3%85tvidaberg_Municipality","http://www.atvidaberg.se","Åtvidaberg Municipality","http://en.wikipedia.org/wiki/Åtvidaberg_Municipality"
"http://dbpedia.org/resource/%C3%85tvidaberg_Municipality","http://www.atvidaberg.se/","Åtvidaberg Municipality","http://en.wikipedia.org/wiki/Åtvidaberg_Municipality"
"http://dbpedia.org/resource/%C3%85tvidaberg_Municipality","http://www.atvidaberg.se","Åtvidabergs kommun","http://en.wikipedia.org/wiki/Åtvidaberg_Municipality"
"http://dbpedia.org/resource/%C3%85tvidaberg_Municipality","http://www.atvidaberg.se/","Åtvidabergs kommun","http://en.wikipedia.org/wiki/Åtvidaberg_Municipality"
"http://dbpedia.org/resource/%C3%86nima","http://toolshed.down.net/faq/faq.html","Ænima","http://en.wikipedia.org/wiki/Ænima"
"http://dbpedia.org/resource/%C3%86thelbald_of_Mercia","http://www.anglo-saxons.net/hwaet/","Æthelbald","http://en.wikipedia.org/wiki/Æthelbald_of_Mercia"
"http://dbpedia.org/resource/%C3%86thelbald_of_Mercia","http://www.ccel.org","Æthelbald","http://en.wikipedia.org/wiki/Æthelbald_of_Mercia"
"http://dbpedia.org/resource/%C3%86thelbald_of_Mercia","http://www.anglo-saxons.net/hwaet/?do=show&page=Charters","Æthelbald","http://en.wikipedia.org/wiki/Æthelbald_of_Mercia"
"http://dbpedia.org/resource/%C3%86thelbald_of_Mercia","http://www.ccel.org/ccel/bede/history.pdf","Æthelbald","http://en.wikipedia.org/wiki/Æthelbald_of_Mercia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.archive.org/stream/livesofsaints05abari#page/308/mode/2up/search/ethelbert","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.archive.org/stream/livesqueensengl00hallgoog#page/n300/mode/2up","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.timesonline.co.uk/tol/life_and_style/court_and_social/article2208855.ece","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.herefordwebpages.co.uk/ethel.shtml","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.mysteriousbritain.co.uk/england/hereford-and-worcestershire/ancient-sites/st-ethelbert%E2%80%99s-holy-well.html","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.herefordcathedral.org/how-to-help/the-friends-of-hereford-cathedral","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","https://ueaeprints.uea.ac.uk/19100/1/ARJ_Hutcheson_Thesis.pdf","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelberht_II_of_East_Anglia","http://www.britnumsoc.org/publications/Digital%20BNJ/pdfs/1985_BNJ_55_4.pdf","Æthelberht II","http://en.wikipedia.org/wiki/Æthelberht_II_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelthryth","http://faculty.virginia.edu/OldEnglish/anthology/aethel.html","Saint Etheldreda","http://en.wikipedia.org/wiki/Æthelthryth"
"http://dbpedia.org/resource/%C3%86thelthryth","http://penelope.uchicago.edu/Thayer/E/Gazetteer/Places/Europe/Great_Britain/England/_Topics/churches/_Texts/KINCAT*/Ely/2.html","Saint Etheldreda","http://en.wikipedia.org/wiki/Æthelthryth"
"http://dbpedia.org/resource/%C3%86thelthryth","http://faculty.virginia.edu/OldEnglish/anthology/aethel.html","Aethelthryth","http://en.wikipedia.org/wiki/Æthelthryth"
"http://dbpedia.org/resource/%C3%86thelthryth","http://penelope.uchicago.edu/Thayer/E/Gazetteer/Places/Europe/Great_Britain/England/_Topics/churches/_Texts/KINCAT*/Ely/2.html","Aethelthryth","http://en.wikipedia.org/wiki/Æthelthryth"
"http://dbpedia.org/resource/%C3%86thelwold_of_East_Anglia","http://www.archive.org/stream/williammalmesbu00gilegoog#page/n10/mode/2up","Æthelwold","http://en.wikipedia.org/wiki/Æthelwold_of_East_Anglia"
"http://dbpedia.org/resource/%C3%86thelwold_of_East_Anglia","http://www.archive.org/details/willelmimalmesb00unkngoog","Æthelwold","http://en.wikipedia.org/wiki/Æthelwold_of_East_Anglia"
"http://dbpedia.org/resource/%C3%87orovod%C3%AB","http://www.bashkiacorovode.gov.al","Çorovodë","http://en.wikipedia.org/wiki/Çorovodë"
"http://dbpedia.org/resource/%C3%88ve,_Oise","http://www.insee.fr/en/home/home_page.asp","Ève","http://en.wikipedia.org/wiki/Ève,_Oise"
"http://dbpedia.org/resource/%C3%88ve_Curie","http://www.bookrags.com/biography-eve-curie/","Ève Curie","http://en.wikipedia.org/wiki/Ève_Curie"
"http://dbpedia.org/resource/%C3%88ve_Curie","http://www.telegraph.co.uk/news/main.jhtml?xml=/news/2007/11/08/db0803.xml","Ève Curie","http://en.wikipedia.org/wiki/Ève_Curie"
"http://dbpedia.org/resource/%C3%88ve_Curie","http://archive.org/","Ève Curie","http://en.wikipedia.org/wiki/Ève_Curie"
"http://dbpedia.org/resource/%C3%88ve_Curie","http://www.answers.com/topic/ve-curie","Ève Curie","http://en.wikipedia.org/wiki/Ève_Curie"
